"Step","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/alpha","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/alpha__MIN","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/alpha__MAX","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha__MIN","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha__MAX","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha__MIN","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha__MAX","Group: 10_09_continue0909 - Training/alpha","Group: 10_09_continue0909 - Training/alpha__MIN","Group: 10_09_continue0909 - Training/alpha__MAX"
"0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"1","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"2","0.3285036087036133","0.3285036087036133","0.3285036087036133","0.3298536539077759","0.3298536539077759","0.3298536539077759","0.32823964953422546","0.32823964953422546","0.32823964953422546","0.3300619423389435","0.3300619423389435","0.3300619423389435"
"3","0.269763708114624","0.269763708114624","0.269763708114624","0.27225181460380554","0.27225181460380554","0.27225181460380554","0.26943841576576233","0.26943841576576233","0.26943841576576233","0.272840678691864","0.272840678691864","0.272840678691864"
"4","0.22147007286548615","0.22147007286548615","0.22147007286548615","0.22374187409877777","0.22374187409877777","0.22374187409877777","0.22112134099006653","0.22112134099006653","0.22112134099006653","0.22237470746040344","0.22237470746040344","0.22237470746040344"
"5","0.18171387910842896","0.18171387910842896","0.18171387910842896","0.18404164910316467","0.18404164910316467","0.18404164910316467","0.18141455948352814","0.18141455948352814","0.18141455948352814","0.18251968920230865","0.18251968920230865","0.18251968920230865"
"6","0.14916303753852844","0.14916303753852844","0.14916303753852844","0.1522921770811081","0.1522921770811081","0.1522921770811081","0.14885851740837097","0.14885851740837097","0.14885851740837097","0.14982688426971436","0.14982688426971436","0.14982688426971436"
"7","0.12245596945285797","0.12245596945285797","0.12245596945285797","0.1283426582813263","0.1283426582813263","0.1283426582813263","0.1221657320857048","0.1221657320857048","0.1221657320857048","0.12301866710186005","0.12301866710186005","0.12301866710186005"
"8","0.10051804035902023","0.10051804035902023","0.10051804035902023","0.1289413571357727","0.1289413571357727","0.1289413571357727","0.10024984180927277","0.10024984180927277","0.10024984180927277","0.1010187640786171","0.1010187640786171","0.1010187640786171"
"9","0.08254283666610718","0.08254283666610718","0.08254283666610718","0.13942395150661469","0.13942395150661469","0.13942395150661469","0.08228376507759094","0.08228376507759094","0.08228376507759094","0.08296095579862595","0.08296095579862595","0.08296095579862595"
"10","0.06780056655406952","0.06780056655406952","0.06780056655406952","0.15279394388198853","0.15279394388198853","0.15279394388198853","0.06756038218736649","0.06756038218736649","0.06756038218736649","0.06815864145755768","0.06815864145755768","0.06815864145755768"
"11","0.055686816573143005","0.055686816573143005","0.055686816573143005","0.1604205071926117","0.1604205071926117","0.1604205071926117","0.05547989159822464","0.05547989159822464","0.05547989159822464","0.05602092295885086","0.05602092295885086","0.05602092295885086"
"12","0.04578108713030815","0.04578108713030815","0.04578108713030815","0.1604570597410202","0.1604570597410202","0.1604570597410202","0.045551348477602005","0.045551348477602005","0.045551348477602005","0.046081919223070145","0.046081919223070145","0.046081919223070145"
"13","0.03765115886926651","0.03765115886926651","0.03765115886926651","0.1646314263343811","0.1646314263343811","0.1646314263343811","0.03742159903049469","0.03742159903049469","0.03742159903049469","0.03793859854340553","0.03793859854340553","0.03793859854340553"
"14","0.03100154735147953","0.03100154735147953","0.03100154735147953","0.1720912754535675","0.1720912754535675","0.1720912754535675","0.030749540776014328","0.030749540776014328","0.030749540776014328","0.03129624202847481","0.03129624202847481","0.03129624202847481"
"15","0.02556808479130268","0.02556808479130268","0.02556808479130268","0.17841683328151703","0.17841683328151703","0.17841683328151703","0.025278395041823387","0.025278395041823387","0.025278395041823387","0.025895636528730392","0.025895636528730392","0.025895636528730392"
"16","0.021208176389336586","0.021208176389336586","0.021208176389336586","0.18459400534629822","0.18459400534629822","0.18459400534629822","0.020798031240701675","0.020798031240701675","0.020798031240701675","0.021749326959252357","0.021749326959252357","0.021749326959252357"
"17","0.017972391098737717","0.017972391098737717","0.017972391098737717","0.18445748090744019","0.18445748090744019","0.18445748090744019","0.017124606296420097","0.017124606296420097","0.017124606296420097","0.018690748140215874","0.018690748140215874","0.018690748140215874"
"18","0.01605101302266121","0.01605101302266121","0.01605101302266121","0.18471305072307587","0.18471305072307587","0.18471305072307587","0.014155450277030468","0.014155450277030468","0.014155450277030468","0.01735452190041542","0.01735452190041542","0.01735452190041542"
"19","0.015600648708641529","0.015600648708641529","0.015600648708641529","0.17853212356567383","0.17853212356567383","0.17853212356567383","0.01173404324799776","0.01173404324799776","0.01173404324799776","0.01685798168182373","0.01685798168182373","0.01685798168182373"
"20","0.015170707367360592","0.015170707367360592","0.015170707367360592","0.17610232532024384","0.17610232532024384","0.17610232532024384","0.009868595749139786","0.009868595749139786","0.009868595749139786","0.01659233495593071","0.01659233495593071","0.01659233495593071"
"21","0.01566016860306263","0.01566016860306263","0.01566016860306263","0.17176903784275055","0.17176903784275055","0.17176903784275055","0.008842790499329567","0.008842790499329567","0.008842790499329567","0.016597969457507133","0.016597969457507133","0.016597969457507133"
"22","0.015788879245519638","0.015788879245519638","0.015788879245519638","0.16980591416358948","0.16980591416358948","0.16980591416358948","0.008617345243692398","0.008617345243692398","0.008617345243692398","0.01661057397723198","0.01661057397723198","0.01661057397723198"
"23","0.015364781953394413","0.015364781953394413","0.015364781953394413","0.16840603947639465","0.16840603947639465","0.16840603947639465","0.008852045983076096","0.008852045983076096","0.008852045983076096","0.01687493547797203","0.01687493547797203","0.01687493547797203"
"24","0.015653787180781364","0.015653787180781364","0.015653787180781364","0.16661082208156586","0.16661082208156586","0.16661082208156586","0.008750990964472294","0.008750990964472294","0.008750990964472294","0.016574328765273094","0.016574328765273094","0.016574328765273094"
"25","0.015867318958044052","0.015867318958044052","0.015867318958044052","0.16545410454273224","0.16545410454273224","0.16545410454273224","0.008921682834625244","0.008921682834625244","0.008921682834625244","0.01662791334092617","0.01662791334092617","0.01662791334092617"
"26","0.015201417729258537","0.015201417729258537","0.015201417729258537","0.16368922591209412","0.16368922591209412","0.16368922591209412","0.009362589567899704","0.009362589567899704","0.009362589567899704","0.016348427161574364","0.016348427161574364","0.016348427161574364"
