"Step","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/E","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/E__MIN","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/E__MAX","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/E","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MIN","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MAX","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/E","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MIN","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MAX","Group: 10_09_continue0909 - Training/E","Group: 10_09_continue0909 - Training/E__MIN","Group: 10_09_continue0909 - Training/E__MAX"
"0","-0.6943404078483582","-0.6943404078483582","-0.6943404078483582","-1.34481680393219","-1.34481680393219","-1.34481680393219","-0.8013811707496643","-0.8013811707496643","-0.8013811707496643","-0.8848742246627808","-0.8848742246627808","-0.8848742246627808"
"1","-0.8528184294700623","-0.8528184294700623","-0.8528184294700623","-1.4193944931030273","-1.4193944931030273","-1.4193944931030273","-0.6825435161590576","-0.6825435161590576","-0.6825435161590576","-0.7521417140960693","-0.7521417140960693","-0.7521417140960693"
"2","0.9063457250595093","0.9063457250595093","0.9063457250595093","-0.05187508091330528","-0.05187508091330528","-0.05187508091330528","1.23635733127594","1.23635733127594","1.23635733127594","0.09044376760721207","0.09044376760721207","0.09044376760721207"
"3","0.6940475106239319","0.6940475106239319","0.6940475106239319","-0.5000926852226257","-0.5000926852226257","-0.5000926852226257","0.9485765695571899","0.9485765695571899","0.9485765695571899","-0.771308422088623","-0.771308422088623","-0.771308422088623"
"4","0.7398248314857483","0.7398248314857483","0.7398248314857483","-0.555152416229248","-0.555152416229248","-0.555152416229248","0.9452183842658997","0.9452183842658997","0.9452183842658997","0.11367356032133102","0.11367356032133102","0.11367356032133102"
"5","0.47001415491104126","0.47001415491104126","0.47001415491104126","-0.9146097898483276","-0.9146097898483276","-0.9146097898483276","0.8515048027038574","0.8515048027038574","0.8515048027038574","0.11436659842729568","0.11436659842729568","0.11436659842729568"
"6","0.646113932132721","0.646113932132721","0.646113932132721","-1.284481406211853","-1.284481406211853","-1.284481406211853","1.0128380060195923","1.0128380060195923","1.0128380060195923","0.32187435030937195","0.32187435030937195","0.32187435030937195"
"7","0.6400642395019531","0.6400642395019531","0.6400642395019531","-1.6954283714294434","-1.6954283714294434","-1.6954283714294434","0.9110206961631775","0.9110206961631775","0.9110206961631775","0.31620967388153076","0.31620967388153076","0.31620967388153076"
"8","0.38236507773399353","0.38236507773399353","0.38236507773399353","-1.6510107517242432","-1.6510107517242432","-1.6510107517242432","0.8039866089820862","0.8039866089820862","0.8039866089820862","0.19673098623752594","0.19673098623752594","0.19673098623752594"
"9","0.3967234492301941","0.3967234492301941","0.3967234492301941","-1.7568179368972778","-1.7568179368972778","-1.7568179368972778","0.6850181818008423","0.6850181818008423","0.6850181818008423","0.08576119691133499","0.08576119691133499","0.08576119691133499"
"10","0.32899436354637146","0.32899436354637146","0.32899436354637146","-1.6699291467666626","-1.6699291467666626","-1.6699291467666626","0.6962553262710571","0.6962553262710571","0.6962553262710571","-0.23336432874202728","-0.23336432874202728","-0.23336432874202728"
"11","0.08106280863285065","0.08106280863285065","0.08106280863285065","-2.0456387996673584","-2.0456387996673584","-2.0456387996673584","0.42107030749320984","0.42107030749320984","0.42107030749320984","-0.652755081653595","-0.652755081653595","-0.652755081653595"
"12","-0.0446997731924057","-0.0446997731924057","-0.0446997731924057","-1.9269741773605347","-1.9269741773605347","-1.9269741773605347","0.6175287365913391","0.6175287365913391","0.6175287365913391","-0.3011349141597748","-0.3011349141597748","-0.3011349141597748"
